Plot,AG_1ST_HIT,AG_ANY_HIT,PG_1ST_HIT,PG_ANY_HIT,FB_1ST_HIT,FB_ANY_HIT,SH_1ST_HIT,SH_ANY_HIT
D1-ARTRV 1,0,0,0.347,0.38,0.16,0.16,0.013,0.013
D1-ARTRV 10,0,0,0.08,0.087,0.067,0.067,0.02,0.02
D1-ARTRV 2,0,0,0.08,0.093,0.167,0.173,0.007,0.007
D1-ARTRV 3,0,0,0.02,0.02,0.107,0.113,0.053,0.053
Bare 3,0,0,0.133,0.153,0.067,0.073,0.08,0.087
Bare 5,0,0,0.007,0.007,0.047,0.047,0,0
Bitner 2,0,0.007,0.107,0.133,0.04,0.047,0.16,0.167
Board Corral 1,0,0,0.22,0.3,0.027,0.053,0.207,0.213
Bull Creek 3,0,0,0.173,0.26,0,0.007,0.2,0.2
Bull Creek 5,0,0,0,0,0.027,0.053,0.22,0.233
Clover Creek Unburned1,0,0.02,0.16,0.267,0.04,0.06,0.32,0.32
Crooks Lake 1,0,0,0.073,0.14,0.013,0.013,0.2,0.213
Crooks Lake 2,0,0,0.12,0.18,0.087,0.133,0.213,0.267
Denio N Burned 1,0,0,0.087,0.093,0.1,0.1,0.02,0.02
Dry Valley 1,0,0,0.033,0.047,0.04,0.04,0.133,0.147
Home Camp 2,0,0,0.147,0.153,0.067,0.067,0.013,0.013
Home Camp 4,0,0.007,0.06,0.073,0.027,0.033,0.24,0.24
Home Camp 7,0,0,0.16,0.193,0.007,0.013,0.16,0.16
Horse Lake 2,0,0,0.02,0.04,0,0,0.44,0.44
Long Valley 1,0,0.007,0.007,0.027,0,0.007,0.233,0.233
Massacre Lakes 1,0,0,0.213,0.253,0.073,0.093,0.06,0.06
Massacre Lakes 3,0,0,0.287,0.313,0.08,0.1,0.047,0.047
Massacre Mountain 3,0,0,0.013,0.047,0.02,0.053,0.327,0.327
Nevada Coleman 1,0,0,0.2,0.267,0.007,0.013,0.253,0.253
Nevada Coleman 4,0,0,0.233,0.273,0.027,0.033,0.147,0.147
New Bailey Creek 2,0,0,0.273,0.4,0,0,0.107,0.107
North Ash Valley 1,0,0,0.067,0.113,0,0,0.133,0.14
Tuledad 5,0,0.02,0,0.007,0,0,0.107,0.107
Tuledad 7,0,0,0,0,0,0,0.213,0.213
Twin Peaks 39,0,0,0.307,0.36,0.02,0.027,0.12,0.12
Nut Mountain 2,0,0,0.013,0.02,0,0,0.12,0.12
Portuguese Flat 2,0,0,0.127,0.147,0.073,0.073,0.06,0.06
Ravendale Amp 4,0,0,0.267,0.367,0.02,0.047,0.213,0.227
Sand Creek 2,0,0.093,0.1,0.247,0.007,0.033,0.533,0.533
South Ash Valley 1,0,0,0.053,0.107,0.02,0.027,0.007,0.007
South Fork 1,0,0,0.133,0.213,0.007,0.02,0.107,0.127
Tule Mountain 1,0,0.013,0.067,0.167,0.02,0.047,0.167,0.193
Wall Canyon West 1,0,0.007,0.24,0.3,0.04,0.06,0.233,0.24
Wall Canyon West 2,0,0,0.16,0.16,0.053,0.053,0,0
Wall Canyon West 4,0,0,0.12,0.14,0.073,0.087,0.153,0.167
WCW B1,0,0,0.153,0.153,0.067,0.067,0,0
Bare 4,0.007,0.007,0.087,0.1,0.007,0.007,0.147,0.147
Bare 8,0.007,0.013,0.127,0.173,0.08,0.087,0.147,0.147
Bull Creek 2,0.007,0.047,0.167,0.227,0.073,0.12,0.413,0.413
Denio 1,0.007,0.013,0.007,0.033,0.067,0.107,0.233,0.233
Home Camp 8,0.007,0.007,0.233,0.293,0.08,0.087,0.113,0.12
Lost Creek Unburned 2,0.007,0.027,0.127,0.18,0.02,0.027,0.327,0.327
Mcdonald Mountain 2,0.007,0.027,0.147,0.213,0.007,0.02,0.047,0.067
Nevada Coleman 3,0.007,0.007,0.193,0.207,0.053,0.06,0.093,0.093
North Horse Lake 1,0.007,0.02,0.167,0.233,0.02,0.027,0.167,0.187
Tuledad 1,0.007,0.02,0.047,0.073,0.107,0.147,0.18,0.213
Tuledad 4,0.007,0.013,0.027,0.073,0,0,0.367,0.373
Twin Peaks 37,0.007,0.013,0,0,0,0,0.193,0.193
Twin Peaks 50,0.007,0.007,0.1,0.14,0.02,0.053,0.4,0.407
A-ARAR 2,0.013,0.013,0.267,0.287,0.053,0.067,0.08,0.08
Deep Cut 9,0.013,0.047,0.007,0.033,0.02,0.027,0.373,0.393
Denio N Unburned 1,0.013,0.033,0.06,0.1,0.007,0.007,0.18,0.18
North Ash Valley 2,0.013,0.02,0.14,0.18,0,0,0.067,0.08
Ravendale AMP 3,0.013,0.013,0.153,0.207,0.04,0.053,0.2,0.2
Twin Peaks 23,0.013,0.02,0,0,0,0,0.113,0.113
Ravendale Amp 2,0.013,0.027,0.073,0.18,0.04,0.047,0.507,0.507
Silva Flat 1,0.013,0.013,0,0,0.32,0.32,0,0
A-ARTRW 1,0.02,0.02,0.14,0.14,0.093,0.093,0,0
A-ARTRW 6,0.02,0.02,0.047,0.053,0.1,0.12,0.013,0.013
Home Camp 6,0.02,0.04,0.067,0.087,0.013,0.027,0.12,0.12
Massacre Mountain 2,0.02,0.073,0.06,0.087,0.013,0.02,0.227,0.227
Observation 20,0.02,0.027,0.173,0.22,0.02,0.04,0.18,0.2
Nut Mountain 1,0.02,0.033,0.033,0.04,0.033,0.047,0.233,0.233
Slate Creek 1,0.02,0.02,0.173,0.28,0.007,0.007,0.24,0.247
Twin Peaks 6,0.02,0.053,0.16,0.207,0.013,0.013,0.207,0.227
Bare 1,0.027,0.04,0,0,0,0,0.18,0.18
Bull Creek 4,0.027,0.027,0.127,0.153,0.013,0.02,0.173,0.173
Observation 11,0.027,0.027,0.2,0.24,0.067,0.1,0.033,0.04
Observation 19,0.027,0.027,0.133,0.147,0.08,0.093,0.147,0.153
Tuledad 10,0.027,0.033,0.08,0.14,0.087,0.113,0.26,0.267
Twin Peaks 1,0.027,0.027,0.067,0.067,0.133,0.133,0.027,0.027
Twin Peaks 41,0.027,0.033,0.027,0.027,0.08,0.093,0.053,0.053
Ravendale Amp 1,0.027,0.06,0.047,0.087,0.067,0.087,0.447,0.453
Sand Creek 1,0.027,0.04,0,0,0,0,0.107,0.107
South Horse Lake 2,0.027,0.053,0.22,0.26,0.033,0.04,0.1,0.107
A-ARTRT 2,0.033,0.033,0.14,0.14,0.08,0.1,0,0
A-ARTRT 3,0.033,0.033,0.047,0.047,0.147,0.153,0.007,0.007
Moon Springs 1,0.033,0.06,0.333,0.367,0.013,0.013,0.007,0.007
Nevada Cowhead 1,0.033,0.053,0.153,0.187,0.013,0.02,0.347,0.353
Bare 2,0.04,0.067,0,0,0,0,0.187,0.193
Home Camp 3,0.04,0.053,0.04,0.067,0.007,0.02,0.253,0.267
Observation 14,0.04,0.047,0.087,0.133,0.013,0.02,0.127,0.153
Observation 9,0.04,0.053,0.24,0.26,0.113,0.127,0.033,0.033
