Plot,Veg,1ST_HIT,ANY_HIT
D1-ARTRV 1,AG,0,0
D1-ARTRV 10,AG,0,0
D1-ARTRV 2,AG,0,0
D1-ARTRV 3,AG,0,0
Bare 3,AG,0,0
Bare 5,AG,0,0
Bitner 2,AG,0,0.007
Board Corral 1,AG,0,0
Bull Creek 3,AG,0,0
Bull Creek 5,AG,0,0
Clover Creek Unburned1,AG,0,0.02
Crooks Lake 1,AG,0,0
Crooks Lake 2,AG,0,0
Denio N Burned 1,AG,0,0
Dry Valley 1,AG,0,0
Home Camp 2,AG,0,0
Home Camp 4,AG,0,0.007
Home Camp 7,AG,0,0
Horse Lake 2,AG,0,0
Long Valley 1,AG,0,0.007
Massacre Lakes 1,AG,0,0
Massacre Lakes 3,AG,0,0
Massacre Mountain 3,AG,0,0
Nevada Coleman 1,AG,0,0
Nevada Coleman 4,AG,0,0
New Bailey Creek 2,AG,0,0
North Ash Valley 1,AG,0,0
Tuledad 5,AG,0,0.02
Tuledad 7,AG,0,0
Twin Peaks 39,AG,0,0
Nut Mountain 2,AG,0,0
Portuguese Flat 2,AG,0,0
Ravendale Amp 4,AG,0,0
Sand Creek 2,AG,0,0.093
South Ash Valley 1,AG,0,0
South Fork 1,AG,0,0
Tule Mountain 1,AG,0,0.013
Wall Canyon West 1,AG,0,0.007
Wall Canyon West 2,AG,0,0
Wall Canyon West 4,AG,0,0
WCW B1,AG,0,0
Bare 4,AG,0.007,0.007
Bare 8,AG,0.007,0.013
Bull Creek 2,AG,0.007,0.047
Denio 1,AG,0.007,0.013
Home Camp 8,AG,0.007,0.007
Lost Creek Unburned 2,AG,0.007,0.027
Mcdonald Mountain 2,AG,0.007,0.027
Nevada Coleman 3,AG,0.007,0.007
North Horse Lake 1,AG,0.007,0.02
Tuledad 1,AG,0.007,0.02
Tuledad 4,AG,0.007,0.013
Twin Peaks 37,AG,0.007,0.013
Twin Peaks 50,AG,0.007,0.007
A-ARAR 2,AG,0.013,0.013
Deep Cut 9,AG,0.013,0.047
Denio N Unburned 1,AG,0.013,0.033
North Ash Valley 2,AG,0.013,0.02
Ravendale AMP 3,AG,0.013,0.013
Twin Peaks 23,AG,0.013,0.02
Ravendale Amp 2,AG,0.013,0.027
Silva Flat 1,AG,0.013,0.013
A-ARTRW 1,AG,0.02,0.02
A-ARTRW 6,AG,0.02,0.02
Home Camp 6,AG,0.02,0.04
Massacre Mountain 2,AG,0.02,0.073
Observation 20,AG,0.02,0.027
Nut Mountain 1,AG,0.02,0.033
Slate Creek 1,AG,0.02,0.02
Twin Peaks 6,AG,0.02,0.053
Bare 1,AG,0.027,0.04
Bull Creek 4,AG,0.027,0.027
Observation 11,AG,0.027,0.027
Observation 19,AG,0.027,0.027
Tuledad 10,AG,0.027,0.033
Twin Peaks 1,AG,0.027,0.027
Twin Peaks 41,AG,0.027,0.033
Ravendale Amp 1,AG,0.027,0.06
Sand Creek 1,AG,0.027,0.04
South Horse Lake 2,AG,0.027,0.053
A-ARTRT 2,AG,0.033,0.033
A-ARTRT 3,AG,0.033,0.033
Moon Springs 1,AG,0.033,0.06
Nevada Cowhead 1,AG,0.033,0.053
Bare 2,AG,0.04,0.067
Home Camp 3,AG,0.04,0.053
Observation 14,AG,0.04,0.047
Observation 9,AG,0.04,0.053
