"","Quadrat","Team","Density"
"1","20X50","Team01","1"
"2","20X50","Team01","2"
"3","20X50","Team01","1"
"4","20X50","Team01","0"
"5","20X50","Team01","0"
"6","20X50","Team01","0"
"7","20X50","Team01","0"
"8","20X50","Team01","2"
"9","20X50","Team01","0"
"10","20X50","Team01","0"
"11","20X50","Team02","0"
"12","20X50","Team02","3"
"13","20X50","Team02","3"
"14","20X50","Team02","2"
"15","20X50","Team02","0"
"16","20X50","Team02","1"
"17","20X50","Team02","3"
"18","20X50","Team02","2"
"19","20X50","Team02","0"
"20","20X50","Team02","0"
"21","20X50","Team03","2"
"22","20X50","Team03","2"
"23","20X50","Team03","1"
"24","20X50","Team03","0"
"25","20X50","Team03","0"
"26","20X50","Team03","0"
"27","20X50","Team03","0"
"28","20X50","Team03","0"
"29","20X50","Team03","0"
"30","20X50","Team03","1"
"31","20X50","Team04","0"
"32","20X50","Team04","0"
"33","20X50","Team04","0"
"34","20X50","Team04","0"
"35","20X50","Team04","0"
"36","20X50","Team04","0"
"37","20X50","Team04","1"
"38","20X50","Team04","2"
"39","20X50","Team04","0"
"40","20X50","Team04","0"
"41","20X50","Team05","4"
"42","20X50","Team05","5"
"43","20X50","Team05","0"
"44","20X50","Team05","0"
"45","20X50","Team05","0"
"46","20X50","Team05","0"
"47","20X50","Team05","1"
"48","20X50","Team05","4"
"49","20X50","Team05","0"
"50","20X50","Team05","0"
"51","50X50","Team01","8"
"52","50X50","Team01","0"
"53","50X50","Team01","0"
"54","50X50","Team01","1"
"55","50X50","Team01","1"
"56","50X50","Team02","4"
"57","50X50","Team02","1"
"58","50X50","Team02","7"
"59","50X50","Team02","0"
"60","50X50","Team02","7"
"61","50X50","Team03","3"
"62","50X50","Team03","1"
"63","50X50","Team03","2"
"64","50X50","Team03","6"
"65","50X50","Team03","2"
"66","50X50","Team04","0"
"67","50X50","Team04","0"
"68","50X50","Team04","0"
"69","50X50","Team04","1"
"70","50X50","Team04","5"
"71","50X50","Team05","1"
"72","50X50","Team05","7"
"73","50X50","Team05","5"
"74","50X50","Team05","0"
"75","50X50","Team05","4"
"76","30X1","Team01","49"
"77","30X1","Team02","137"
"78","30X1","Team03","48"
"79","30X1","Team04","43"
"80","30X1","Team05","174"
