"","Team","Density","Quadrat"
"1","team_1","1","50 cm x 20 cm"
"2","team_1","2","50 cm x 20 cm"
"3","team_1","1","50 cm x 20 cm"
"4","team_1","0","50 cm x 20 cm"
"5","team_1","0","50 cm x 20 cm"
"6","team_1","0","50 cm x 20 cm"
"7","team_1","0","50 cm x 20 cm"
"8","team_1","2","50 cm x 20 cm"
"9","team_1","0","50 cm x 20 cm"
"10","team_2","0","50 cm x 20 cm"
"11","team_2","3","50 cm x 20 cm"
"12","team_2","3","50 cm x 20 cm"
"13","team_2","2","50 cm x 20 cm"
"14","team_2","0","50 cm x 20 cm"
"15","team_2","1","50 cm x 20 cm"
"16","team_2","3","50 cm x 20 cm"
"17","team_2","2","50 cm x 20 cm"
"18","team_2","0","50 cm x 20 cm"
"19","team_3","2","50 cm x 20 cm"
"20","team_3","2","50 cm x 20 cm"
"21","team_3","1","50 cm x 20 cm"
"22","team_3","0","50 cm x 20 cm"
"23","team_3","0","50 cm x 20 cm"
"24","team_3","0","50 cm x 20 cm"
"25","team_3","0","50 cm x 20 cm"
"26","team_3","0","50 cm x 20 cm"
"27","team_3","0","50 cm x 20 cm"
"28","team_4","0","50 cm x 20 cm"
"29","team_4","0","50 cm x 20 cm"
"30","team_4","0","50 cm x 20 cm"
"31","team_4","0","50 cm x 20 cm"
"32","team_4","0","50 cm x 20 cm"
"33","team_4","0","50 cm x 20 cm"
"34","team_4","1","50 cm x 20 cm"
"35","team_4","2","50 cm x 20 cm"
"36","team_4","0","50 cm x 20 cm"
"37","team_5","50 cm  x 20 cm","50 cm x 20 cm"
"38","team_5","4","50 cm x 20 cm"
"39","team_5","5","50 cm x 20 cm"
"40","team_5","0","50 cm x 20 cm"
"41","team_5","0","50 cm x 20 cm"
"42","team_5","0","50 cm x 20 cm"
"43","team_5","0","50 cm x 20 cm"
"44","team_5","1","50 cm x 20 cm"
"45","team_5","4","50 cm x 20 cm"
"46","team_5","0","50 cm x 20 cm"
"47","team_1","8","30 m x 1 m"
"48","team_1","0","30 m x 1 m"
"49","team_1","0","30 m x 1 m"
"50","team_1","1","30 m x 1 m"
"51","team_1","1","30 m x 1 m"
"52","team_2","4","30 m x 1 m"
"53","team_2","1","30 m x 1 m"
"54","team_2","7","30 m x 1 m"
"55","team_2","0","30 m x 1 m"
"56","team_2","7","30 m x 1 m"
"57","team_3","3","30 m x 1 m"
"58","team_3","1","30 m x 1 m"
"59","team_3","2","30 m x 1 m"
"60","team_3","6","30 m x 1 m"
"61","team_3","2","30 m x 1 m"
"62","team_4","0","30 m x 1 m"
"63","team_4","0","30 m x 1 m"
"64","team_4","0","30 m x 1 m"
"65","team_4","1","30 m x 1 m"
"66","team_4","5","30 m x 1 m"
"67","team_5","1","30 m x 1 m"
"68","team_5","7","30 m x 1 m"
"69","team_5","5","30 m x 1 m"
"70","team_5","0","30 m x 1 m"
"71","team_5","4","30 m x 1 m"
"72","team_1","49","30 m x 1 m"
"73","team_2","137","30 m x 1 m"
"74","team_3","48","30 m x 1 m"
"75","team_4","43","30 m x 1 m"
"76","team_5","174","30 m x 1 m"
