"","team","plot.size","density"
"1",1,"20cm X50 cm",1
"2",1,"20cm X50 cm",2
"3",1,"20cm X50 cm",1
"4",1,"20cm X50 cm",0
"5",1,"20cm X50 cm",0
"6",1,"20cm X50 cm",0
"7",1,"20cm X50 cm",0
"8",1,"20cm X50 cm",2
"9",1,"20cm X50 cm",0
"10",1,"20cm X50 cm",0
"11",2,"20cm X50 cm",0
"12",2,"20cm X50 cm",3
"13",2,"20cm X50 cm",3
"14",2,"20cm X50 cm",2
"15",2,"20cm X50 cm",0
"16",2,"20cm X50 cm",1
"17",2,"20cm X50 cm",3
"18",2,"20cm X50 cm",2
"19",2,"20cm X50 cm",0
"20",2,"20cm X50 cm",0
"21",3,"20cm X50 cm",2
"22",3,"20cm X50 cm",2
"23",3,"20cm X50 cm",1
"24",3,"20cm X50 cm",0
"25",3,"20cm X50 cm",0
"26",3,"20cm X50 cm",0
"27",3,"20cm X50 cm",0
"28",3,"20cm X50 cm",0
"29",3,"20cm X50 cm",0
"30",3,"20cm X50 cm",1
"31",4,"20cm X50 cm",0
"32",4,"20cm X50 cm",0
"33",4,"20cm X50 cm",0
"34",4,"20cm X50 cm",0
"35",4,"20cm X50 cm",0
"36",4,"20cm X50 cm",0
"37",4,"20cm X50 cm",1
"38",4,"20cm X50 cm",2
"39",4,"20cm X50 cm",0
"40",4,"20cm X50 cm",0
"41",5,"20cm X50 cm",4
"42",5,"20cm X50 cm",5
"43",5,"20cm X50 cm",0
"44",5,"20cm X50 cm",0
"45",5,"20cm X50 cm",0
"46",5,"20cm X50 cm",0
"47",5,"20cm X50 cm",1
"48",5,"20cm X50 cm",4
"49",5,"20cm X50 cm",0
"50",5,"20cm X50 cm",0
"51",1,"50cm X 50cm",8
"52",1,"50cm X 50cm",0
"53",1,"50cm X 50cm",0
"54",1,"50cm X 50cm",1
"55",1,"50cm X 50cm",1
"56",2,"50cm X 50cm",4
"57",2,"50cm X 50cm",1
"58",2,"50cm X 50cm",7
"59",2,"50cm X 50cm",0
"60",2,"50cm X 50cm",7
"61",3,"50cm X 50cm",3
"62",3,"50cm X 50cm",1
"63",3,"50cm X 50cm",2
"64",3,"50cm X 50cm",6
"65",3,"50cm X 50cm",2
"66",4,"50cm X 50cm",0
"67",4,"50cm X 50cm",0
"68",4,"50cm X 50cm",0
"69",4,"50cm X 50cm",1
"70",4,"50cm X 50cm",5
"71",5,"50cm X 50cm",1
"72",5,"50cm X 50cm",7
"73",5,"50cm X 50cm",5
"74",5,"50cm X 50cm",0
"75",5,"50cm X 50cm",4
"76",1,"30m x 1m",49
"77",2,"30m x 1m",137
"78",3,"30m x 1m",48
"79",4,"30m x 1m",43
"80",5,"30m x 1m",174
