id,acquired,satellite_id,sun_elevation,pixel_resolution,cloud_cover,anomalous_pixels,sun_azimuth,view_angle,usable_data,item_type,gsd
20171008_181404_1354107_RapidEye-2,2017-10-08T18:14:04Z,RapidEye-2,50.16835,5,0,0.13,163.96039,6.77446,0.87,REOrthoTile,6.5
20170917_180657_1354107_RapidEye-5,2017-09-17T18:06:57Z,RapidEye-5,56.8829,5,0,0,154.20556,3.49999,1,REOrthoTile,6.5
20090607_183438_1354107_RapidEye-5,2009-06-07T18:34:38Z,RapidEye-5,78.04986,5,0.05,0.75,141.77979,0.21204,0.25,REOrthoTile,6.5
20090614_184337_1354107_RapidEye-2,2009-06-14T18:43:37Z,RapidEye-2,79.37557,5,0.03,0.03,148.05508,-9.774,0.97,REOrthoTile,6.5
20090708_184718_1354107_RapidEye-2,2009-07-08T18:47:18Z,RapidEye-2,78.46098,5,0,0,149.13803,-13.02246,1,REOrthoTile,6.5
20090805_183532_1354107_RapidEye-2,2009-08-05T18:35:32Z,RapidEye-2,72.11822,5,0.09,0.93,148.97578,6.84749,0.07,REOrthoTile,6.5
20090807_183506_1354107_RapidEye-4,2009-08-07T18:35:06Z,RapidEye-4,71.59904,5,0.16,0.16,149.63647,6.71936,0.84,REOrthoTile,6.5
20090827_183519_1354107_RapidEye-5,2009-08-27T18:35:19Z,RapidEye-5,66.06063,5,0.04,0.9,159.14784,3.49554,0.1,REOrthoTile,6.5
20090830_183816_1354107_RapidEye-3,2009-08-30T18:38:16Z,RapidEye-3,65.30493,5,0,0,162.09263,3.45099,1,REOrthoTile,6.5
20090915_183411_1354107_RapidEye-5,2009-09-15T18:34:11Z,RapidEye-5,59.55954,5,0.05,0.9,165.83465,6.76413,0.1,REOrthoTile,6.5
20090921_184131_1354107_RapidEye-1,2009-09-21T18:41:31Z,RapidEye-1,57.66526,5,0.06,0.11,171.07165,0.01291,0.89,REOrthoTile,6.5
20091005_183526_1354107_RapidEye-1,2009-10-05T18:35:26Z,RapidEye-1,52.2316,5,0.11,0.16,171.64463,13.32623,0.84,REOrthoTile,6.5
20091009_183749_1354107_RapidEye-5,2009-10-09T18:37:49Z,RapidEye-5,50.81072,5,0,0,173.31638,3.5155,1,REOrthoTile,6.5
20091007_183541_1354107_RapidEye-3,2009-10-07T18:35:41Z,RapidEye-3,51.49584,5,0.32,0.4,172.12485,13.41498,0.6,REOrthoTile,6.5
20091015_184452_1354107_RapidEye-1,2009-10-15T18:44:52Z,RapidEye-1,48.72364,5,0.11,0.7,176.82675,-6.56729,0.3,REOrthoTile,6.5
20090930_184831_1354107_RapidEye-5,2009-09-30T18:48:31Z,RapidEye-5,54.41109,5,0,0,176.14772,-16.32828,1,REOrthoTile,6.5
20091021_185050_1354107_RapidEye-2,2009-10-21T18:50:50Z,RapidEye-2,46.60028,5,0.16,0.52,179.50716,-12.90691,0.48,REOrthoTile,6.5
20091106_184435_1354107_RapidEye-4,2009-11-06T18:44:35Z,RapidEye-4,41.33323,5,0,0.78,177.852,-13.01845,0.22,REOrthoTile,6.5
20091120_183844_1354107_RapidEye-4,2009-11-20T18:38:44Z,RapidEye-4,37.58549,5,0,0,175.65241,3.5707,1,REOrthoTile,6.5
20091123_184358_1354107_RapidEye-2,2009-11-23T18:43:58Z,RapidEye-2,37.00541,5,0.02,0.18,177.00544,-2.84304,0.82,REOrthoTile,6.5
20091124_184303_1354107_RapidEye-3,2009-11-24T18:43:03Z,RapidEye-3,36.79077,5,0.02,0.14,176.66411,0.31784,0.86,REOrthoTile,6.5
20091127_184729_1354107_RapidEye-1,2009-11-27T18:47:29Z,RapidEye-1,36.26286,5,0,0.66,177.70484,-9.98003,0.34,REOrthoTile,6.5
20091215_184358_1354107_RapidEye-5,2009-12-15T18:43:58Z,RapidEye-5,34.06035,5,0.02,0.25,174.72368,-5.61697,0.75,REOrthoTile,6.5
20091213_184155_1354107_RapidEye-3,2009-12-13T18:41:55Z,RapidEye-3,34.14685,5,0,0,174.40999,0.3753,1,REOrthoTile,6.5
20100110_185106_1354107_RapidEye-2,2010-01-10T18:51:06Z,RapidEye-2,35.35219,5,0,0.62,173.12095,-16.17237,0.38,REOrthoTile,6.5
20100106_184526_1354107_RapidEye-3,2010-01-06T18:45:26Z,RapidEye-3,34.69491,5,0.01,0.02,172.07866,-2.9978,0.98,REOrthoTile,6.5
20091224_183312_1354107_RapidEye-5,2009-12-24T18:33:12Z,RapidEye-5,33.54695,5,0,0,170.56667,16.09356,1,REOrthoTile,6.5
20100120_183925_1354107_RapidEye-3,2010-01-20T18:39:25Z,RapidEye-3,36.68615,5,0.02,0.02,168.45852,6.93205,0.98,REOrthoTile,6.5
20100206_183744_1354107_RapidEye-1,2010-02-06T18:37:44Z,RapidEye-1,40.92415,5,0.03,0.72,165.91176,13.30767,0.28,REOrthoTile,6.5
20100208_183807_1354107_RapidEye-3,2010-02-08T18:38:07Z,RapidEye-3,41.55371,5,0.01,0.02,165.82489,13.70897,0.98,REOrthoTile,6.5
20100303_184219_1354107_RapidEye-2,2010-03-03T18:42:19Z,RapidEye-2,49.90394,5,0,0,165.5612,6.92418,1,REOrthoTile,6.5
20100413_184130_1354107_RapidEye-5,2010-04-13T18:41:30Z,RapidEye-5,65.9507,5,0.01,0.01,163.687,6.77299,0.99,REOrthoTile,6.5
20100507_184511_1354107_RapidEye-5,2010-05-07T18:45:11Z,RapidEye-5,73.89922,5,0.01,0.46,163.39489,-3.00578,0.54,REOrthoTile,6.5
20100506_184327_1354107_RapidEye-4,2010-05-06T18:43:27Z,RapidEye-4,73.5198,5,0,0.58,162.16943,0.23275,0.42,REOrthoTile,6.5
20100530_184700_1354107_RapidEye-4,2010-05-30T18:47:00Z,RapidEye-4,78.63689,5,0.01,0.16,158.04634,-6.5058,0.84,REOrthoTile,6.5
