PRISM Time Series Data
Location:  Lat: 46.0581   Lon: -116.8328   Elev: 4911ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1900-01 - 2018-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1900-01,2.22
1900-02,2.31
1900-03,4.20
1900-04,3.98
1900-05,5.54
1900-06,1.90
1900-07,0.34
1900-08,1.60
1900-09,2.19
1900-10,5.21
1900-11,2.56
1900-12,3.28
1901-01,3.16
1901-02,2.97
1901-03,2.73
1901-04,2.44
1901-05,3.42
1901-06,3.41
1901-07,0.59
1901-08,0.44
1901-09,2.64
1901-10,1.13
1901-11,3.08
1901-12,1.98
1902-01,1.67
1902-02,3.60
1902-03,2.01
1902-04,2.25
1902-05,6.16
1902-06,2.14
1902-07,3.04
1902-08,1.26
1902-09,0.88
1902-10,0.94
1902-11,6.81
1902-12,3.52
1903-01,3.55
1903-02,0.43
1903-03,3.18
1903-04,2.69
1903-05,3.35
1903-06,3.54
1903-07,1.72
1903-08,1.62
1903-09,2.21
1903-10,2.25
1903-11,5.21
1903-12,1.99
1904-01,2.46
1904-02,3.94
1904-03,7.02
1904-04,2.51
1904-05,1.88
1904-06,2.59
1904-07,1.61
1904-08,0.69
1904-09,0.46
1904-10,2.12
1904-11,1.33
1904-12,2.43
1905-01,1.81
1905-02,0.86
1905-03,3.50
1905-04,3.77
1905-05,4.44
1905-06,4.11
1905-07,0.63
1905-08,0.14
1905-09,1.89
1905-10,3.40
1905-11,2.13
1905-12,1.70
1906-01,2.46
1906-02,2.39
1906-03,3.41
1906-04,2.17
1906-05,5.99
1906-06,2.77
1906-07,0.18
1906-08,1.61
1906-09,1.04
1906-10,2.70
1906-11,5.60
1906-12,4.31
1907-01,3.36
1907-02,2.29
1907-03,3.44
1907-04,2.94
1907-05,1.69
1907-06,3.96
1907-07,1.49
1907-08,1.24
1907-09,1.19
1907-10,1.08
1907-11,2.14
1907-12,2.81
1908-01,1.33
1908-02,1.69
1908-03,3.61
1908-04,2.11
1908-05,3.68
1908-06,3.23
1908-07,0.48
1908-08,0.81
1908-09,2.34
1908-10,3.44
1908-11,1.29
1908-12,1.60
1909-01,4.20
1909-02,2.79
1909-03,1.77
1909-04,2.42
1909-05,3.34
1909-06,1.74
1909-07,4.19
1909-08,0.00
1909-09,2.45
1909-10,1.87
1909-11,6.05
1909-12,2.00
1910-01,2.81
1910-02,3.79
1910-03,2.43
1910-04,2.88
1910-05,4.15
1910-06,0.60
1910-07,0.24
1910-08,0.20
1910-09,1.29
1910-10,2.88
1910-11,5.33
1910-12,1.58
1911-01,1.85
1911-02,1.81
1911-03,1.09
1911-04,1.27
1911-05,7.30
1911-06,3.90
1911-07,0.15
1911-08,0.58
1911-09,1.82
1911-10,1.99
1911-11,3.28
1911-12,1.84
1912-01,3.79
1912-02,2.96
1912-03,2.09
1912-04,4.85
1912-05,5.68
1912-06,2.40
1912-07,1.45
1912-08,2.59
1912-09,1.41
1912-10,2.28
1912-11,2.50
1912-12,2.27
1913-01,4.60
1913-02,1.28
1913-03,5.52
1913-04,2.89
1913-05,4.19
1913-06,5.64
1913-07,1.06
1913-08,1.10
1913-09,1.10
1913-10,3.06
1913-11,2.98
1913-12,1.26
1914-01,3.39
1914-02,2.19
1914-03,1.16
1914-04,3.09
1914-05,2.43
1914-06,3.46
1914-07,0.87
1914-08,0.00
1914-09,3.02
1914-10,2.75
1914-11,1.60
1914-12,0.93
1915-01,1.55
1915-02,1.92
1915-03,2.44
1915-04,2.87
1915-05,7.74
1915-06,1.90
1915-07,2.26
1915-08,0.03
1915-09,0.91
1915-10,1.49
1915-11,4.22
1915-12,2.77
1916-01,3.50
1916-02,3.34
1916-03,5.47
1916-04,2.69
1916-05,3.77
1916-06,3.17
1916-07,1.85
1916-08,1.38
1916-09,1.56
1916-10,1.01
1916-11,2.92
1916-12,3.09
1917-01,2.89
1917-02,2.19
1917-03,2.95
1917-04,4.45
1917-05,3.79
1917-06,1.96
1917-07,0.00
1917-08,0.00
1917-09,3.83
1917-10,0.33
1917-11,1.91
1917-12,6.92
1918-01,3.81
1918-02,2.28
1918-03,2.25
1918-04,1.91
1918-05,2.06
1918-06,0.90
1918-07,1.32
1918-08,1.77
1918-09,0.94
1918-10,3.28
1918-11,1.68
1918-12,1.47
1919-01,2.46
1919-02,3.57
1919-03,3.34
1919-04,3.09
1919-05,2.21
1919-06,0.11
1919-07,0.02
1919-08,0.41
1919-09,0.65
1919-10,2.28
1919-11,4.15
1919-12,2.15
1920-01,2.48
1920-02,0.31
1920-03,4.65
1920-04,4.23
1920-05,2.49
1920-06,2.76
1920-07,0.86
1920-08,1.43
1920-09,3.12
1920-10,3.80
1920-11,3.19
1920-12,3.23
1921-01,3.83
1921-02,2.67
1921-03,3.43
1921-04,5.12
1921-05,3.42
1921-06,1.70
1921-07,0.80
1921-08,0.54
1921-09,1.99
1921-10,1.81
1921-11,4.88
1921-12,1.97
1922-01,1.86
1922-02,2.25
1922-03,3.23
1922-04,3.81
1922-05,3.08
1922-06,1.17
1922-07,0.36
1922-08,1.62
1922-09,0.83
1922-10,1.36
1922-11,1.21
1922-12,3.77
1923-01,4.20
1923-02,1.31
1923-03,2.00
1923-04,3.82
1923-05,4.51
1923-06,5.77
1923-07,1.15
1923-08,0.85
1923-09,0.33
1923-10,2.98
1923-11,2.98
1923-12,2.81
1924-01,2.03
1924-02,2.57
1924-03,1.25
1924-04,1.60
1924-05,0.68
1924-06,1.62
1924-07,1.00
1924-08,1.06
1924-09,0.99
1924-10,2.57
1924-11,4.72
1924-12,2.32
1925-01,3.89
1925-02,2.57
1925-03,2.44
1925-04,3.61
1925-05,3.63
1925-06,2.69
1925-07,0.52
1925-08,1.55
1925-09,2.07
1925-10,1.98
1925-11,1.77
1925-12,2.85
1926-01,2.04
1926-02,3.67
1926-03,1.27
1926-04,2.00
1926-05,3.51
1926-06,2.46
1926-07,0.30
1926-08,3.21
1926-09,2.58
1926-10,2.97
1926-11,5.82
1926-12,2.63
1927-01,2.89
1927-02,4.03
1927-03,2.73
1927-04,2.21
1927-05,5.50
1927-06,2.69
1927-07,0.41
1927-08,1.15
1927-09,5.40
1927-10,3.10
1927-11,8.22
1927-12,2.46
1928-01,3.22
1928-02,0.52
1928-03,5.15
1928-04,4.36
1928-05,0.67
1928-06,1.81
1928-07,0.70
1928-08,0.42
1928-09,1.03
1928-10,2.18
1928-11,1.61
1928-12,1.76
1929-01,2.84
1929-02,1.09
1929-03,2.80
1929-04,3.14
1929-05,1.88
1929-06,3.52
1929-07,0.04
1929-08,0.41
1929-09,0.48
1929-10,1.46
1929-11,0.26
1929-12,4.22
1930-01,1.63
1930-02,2.98
1930-03,3.12
1930-04,3.79
1930-05,4.45
1930-06,2.64
1930-07,0.36
1930-08,0.50
1930-09,1.76
1930-10,2.42
1930-11,2.28
1930-12,1.22
1931-01,2.42
1931-02,1.47
1931-03,4.82
1931-04,2.72
1931-05,1.31
1931-06,1.74
1931-07,0.11
1931-08,0.02
1931-09,1.61
1931-10,2.49
1931-11,3.34
1931-12,3.39
1932-01,2.87
1932-02,2.43
1932-03,6.25
1932-04,3.64
1932-05,5.17
1932-06,0.66
1932-07,0.37
1932-08,0.41
1932-09,0.52
1932-10,2.98
1932-11,4.77
1932-12,2.22
1933-01,3.53
1933-02,2.23
1933-03,2.51
1933-04,2.19
1933-05,3.45
1933-06,3.07
1933-07,0.35
1933-08,0.91
1933-09,2.37
1933-10,3.98
1933-11,1.60
1933-12,6.08
1934-01,2.73
1934-02,0.78
1934-03,3.77
1934-04,2.24
1934-05,1.50
1934-06,3.17
1934-07,0.23
1934-08,0.12
1934-09,0.54
1934-10,3.16
1934-11,3.43
1934-12,2.66
1935-01,2.31
1935-02,0.91
1935-03,3.42
1935-04,3.52
1935-05,1.03
1935-06,1.77
1935-07,0.94
1935-08,0.47
1935-09,0.43
1935-10,2.33
1935-11,1.12
